# k1 k2
0.0125034 0.88998 
-0.0303794 0.0244559 
0.00599816 0.894938 
-0.0427175 0.0328983 
0.00829959 0.894268 
-0.0361638 0.0385489 
0.0225424 0.887722 
-0.017119 0.0430549 
0.0136315 0.877124 
0.0464513 -0.00958752 
-0.0151728 0.868275 
0.043698 -0.0171648 
-0.0262755 0.862212 
0.0350776 -0.0277121 
0.85654 -0.0169258 
0.0195289 -0.0302745 
0.851352 0.00866766 
0.00234891 -0.022303 
0.845932 0.0258885 
0.00863643 -0.0224488 
0.0140325 0.841025 
0.0342168 -0.0352163 
-0.00697038 0.836623 
-0.049687 0.0554702 
0.830607 -0.0215349 
-0.0500154 0.0701775 
0.837474 -0.00825048 
0.0714392 -0.0434087 
0.0114314 0.776502 
0.0371275 -0.0361769 
1.08551 -0.0120478 
2.97325 -0.0139375 
0.0265229 -0.0426125 
1.12808 -0.00941469 
2.87091 -0.0253103 
0.036576 -0.0421418 
1.14767 -0.0120627 
2.87612 0.00131328 
0.0632547 -0.0401729 
1.13119 0.0193565 
2.90095 0.0452551 
0.0759709 -0.0379219 
1.12835 0.0391045 
2.91641 0.0386931 
0.0663483 -0.0342695 
1.13996 0.0176189 
2.90785 -0.00387981 
0.0381075 -0.0308702 
1.15054 -0.00878125 
2.89433 -0.0260334 
0.0100383 -0.0293286 
1.1499 -0.00957523 
2.89765 -0.00287349 
-0.00969378 -0.0327662 
1.14605 0.0149107 
2.91472 0.0377842 
-0.0195574 -0.0475475 
1.15346 0.0312597 
2.91662 0.0286419 
-0.0177653 -0.0649386 
1.17274 0.0047552 
2.89213 -0.0269392 
-0.0107671 -0.072548 
1.18762 -0.0354593 
2.86907 -0.0617728 
-0.00686536 -0.0746946 
1.18451 -0.0432786 
2.87663 -0.0331967 
-0.000744222 -0.0713171 
1.16992 -0.010064 
2.91355 0.0267408 
0.00137882 -0.0708348 
1.1629 0.0231766 
2.94342 0.0376906 
-0.010469 -0.0764488 
1.16917 0.0174626 
2.94267 0.00676088 
-0.0322774 -0.0837461 
1.17408 0.000782101 
2.92615 -0.0162189 
-0.0564316 -0.0890763 
1.16665 -0.00449366 
2.91689 5.44105e-05 
-0.0650846 -0.0875911 
1.15514 0.0149402 
2.92047 0.0327989 
-0.0519897 -0.0827259 
1.15431 0.0225726 
2.91336 0.0136285 
-0.0216448 -0.0770346 
1.16533 -0.0113109 
2.8908 -0.035568 
0.0128703 -0.0666163 
1.17304 -0.0385734 
2.87828 -0.0521141 
0.0325319 -0.0540057 
1.16562 -0.0320511 
2.89484 -0.0181212 
0.0273859 -0.0398286 
1.15099 0.00162533 
2.93344 0.0350532 
0.0116598 -0.0226381 
1.14533 0.0314262 
2.96111 0.0430316 
-0.0108914 -0.00383125 
1.15332 0.0229723 
2.95991 0.00938298 
-0.0350159 0.0121972 
1.16185 0.00207183 
2.94541 -0.0154793 
-0.0426061 0.0255584 
1.1595 -0.00270384 
2.94286 0.00597649 
-0.0346736 0.035704 
1.1554 0.0226922 
2.95243 0.0458701 
-0.0199965 0.0456054 
1.16269 0.0337129 
2.94024 0.0223465 
0.0536307 -0.0169449 
1.18034 -0.0042556 
2.90387 -0.0347555 
0.0545269 -0.0219586 
1.19134 -0.0365954 
2.87273 -0.0567607 
0.0504736 -0.0215622 
1.18351 -0.0348012 
2.86875 -0.0286854 
0.0385602 -0.0102125 
1.16664 -0.00256005 
2.89186 0.0279158 
0.0220995 0.00788107 
1.15791 0.0331125 
2.90979 0.0414097 
0.0374776 -0.00219483 
1.16198 0.0246541 
2.90053 0.00209268 
0.0565965 -0.0220776 
